1	Как ты видишь идеальную девушку?	Милая,красивая,заботливая,хозяйственная,финансово самостоятельная,анимешница,желательно похожая на маму 
1	Как ты видишь идеальную девушку?	Привлекательная,ухоженная и опрятная,умная и любознательная,с хорошим чувством юмора и умением поддержать беседу
1	Как ты видишь идеальную девушку?	Стройная не больше 55 кг,рост 160-170см,волосы ниже плеч.Жирные и страшные - мимо.Лопоухие - мимо.Феменистки,бодипозитив- мимо.Женственная,сексуальная,хороший прикус,покладистая,отсутствие татуировок,бородавок и прочих дефектов,без друзей парней
1	Как ты видишь идеальную девушку?	Верная,честная,заботливая,веселая,с пацанами не дружит,не обидчивая на всякую мелочь,драйвовая,есть своя квартира
2	Девушка решила пойти в клуб с подружками,твои действия?	Нет конечно,что за вопрос.Что я потом маме скажу,что отпустил девушку к другим мужикам?
2	Девушка решила пойти в клуб с подружками,твои действия?	.Скажу "Хорошо повеселиться и отпишись как закончите,я могу тебя забрать"
2	Девушка решила пойти в клуб с подружками,твои действия?	Если хочет чтобы моё мнение о ней изменилось,то пусть идет
2	Девушка решила пойти в клуб с подружками,твои действия?	Идеально если она такая же тусовочная как и я,но если отдыхать в клубе,то только под моим присмотром
3	Что ты сделаешь,если девушка скажет"Я ничего не хочу бери бургер только себе"	Ну возьму только себе,она же сказала не надо
3	Что ты сделаешь,если девушка скажет"Я ничего не хочу бери бургер только себе"	Если девушка говорит так,нужно брать всего и побольше
3	Что ты сделаешь,если девушка скажет"Я ничего не хочу бери бургер только себе"	Возьму только себе,пусть учится говорить правду
3	Что ты сделаешь,если девушка скажет"Я ничего не хочу бери бургер только себе"	Если не хочет бургер,предложу что-нибудь другое на её усмотрение
4	Девушка отправляет фоточку в примерочной в новом платье,твои действия?	Скажу классное,бери,у тебя сегодня как раз зарплата
4	Девушка отправляет фоточку в примерочной в новом платье,твои действия?	Я понимаю что это явный намёк,так что скажу что она шикарно в нём выглядит и узнаю сколько отправить
4	Девушка отправляет фоточку в примерочной в новом платье,твои действия?	Если фотка имеет денежный поддтекст,то не поведусь,но скажу что она в нем хорошо выглядит
4	Девушка отправляет фоточку в примерочной в новом платье,твои действия?	Отвешаю комплиментов и закину касарь,пусть побалует себя)
5	Раздельный или общий счет?	Раздельный,уважаю самостоятельных девушек
5	Раздельный или общий счет?	Общий,если вижу по глазам что потом можем поехать ко мне
5	Раздельный или общий счет?	Общий
5	Раздельный или общий счет?	Если ставочка зашла,то почему бы и не угостить девочку)
6	Как ты относишься к свиданиям с другими,находясь в отношениях?	Если первая не узнает,то почему бы и нет,я бы сам хотел удостовериться в такой удаче
6	Как ты относишься к свиданиям с другими,находясь в отношениях?	Я как-то встречался на два фронта,интересно,но заморочено.Если станет скучно,то почему бы и нет
6	Как ты относишься к свиданиям с другими,находясь в отношениях?	Я верен своему выбору и подпитывать свою самооценку на стороне,мне не нужно
6	Как ты относишься к свиданиям с другими,находясь в отношениях?	Не ну это не правильно,сначала с одной расстаться надо,чтобы гулять со второй
7	Какие у тебя отношения с мамой?	Мне с мамой очень хорошо,всегда чисто и покушать есть,она взамен только просит чтобы дома почаще и не поздно был,переезжать не планировал,да и смысл,пусть девушка к нам приезжает
7	Какие у тебя отношения с мамой?	Отношения хорошие,люблю болтать с ней по телефону,тк она живёт в другом городе,а когда приезжает, мы гуляем с ней по Питеру
7	Какие у тебя отношения с мамой?	Ну мама и мама,обычные отношения..
7	Какие у тебя отношения с мамой?	Мама у меня классная,всегда мне помогала в трудные времена…в отношения не лезет,очень её люблю
8	На улице - 10,куда поведешь девушку?	Нууу можно погулять,для меня это не так важно
8	На улице - 10,куда поведешь девушку?	Если девушка хочет быть в тепле,можно съездить на картинг, потом посидеть в кафе покушать и поболтать
8	На улице - 10,куда поведешь девушку?	Хороший ресторан,дорогое вино,а после недосмотренный фильм у меня дома;)
8	На улице - 10,куда поведешь девушку?	Не знаю,я всегда занят.Пусть сама придумает что-нибудь или можно к пацанам на хату залететь
9	Твой ответ на вопрос"Если бы я была червем,ты бы любил меня"?	Дурацкий вопрос,никак бы не ответил
9	Твой ответ на вопрос"Если бы я была червем,ты бы любил меня"?	Любил бы,в баночку положил и носил с собой,зато всегда при себе самый милый червячок
9	Твой ответ на вопрос"Если бы я была червем,ты бы любил меня"?	Сказал бы что,такую красивую голову не должны заполнять такие глупые вопросы 
9	Твой ответ на вопрос"Если бы я была червем,ты бы любил меня"?	Сказал бы что любил,но отпустил на свободу потому что боялся раздавить
10	Девушка пишет что идет в душ,твои действия?	Скажу удачи,зачем только мне об этом сообщать
10	Девушка пишет что идет в душ,твои действия?	Как выйдешь,напиши
10	Девушка пишет что идет в душ,твои действия?	Это приглашение?)
10	Девушка пишет что идет в душ,твои действия?	Скинешь фоточку?
11	Любишь ли ты животных?	Безразлично,в детстве стрелял по воробьям из рогатки
11	Любишь ли ты животных?	Обожаю собак,у самого был бездомный пес которого приютил в щенячестве.Кошек недолюбливаю
11	Любишь ли ты животных?	Не вижу прикола в этих существах,только шерсть и говешки
11	Любишь ли ты животных?	Всех зверушек люблю и не обижаю
12	"Если чтобы меня спасти тебе нужно поцеловать бывшую,что ты сделаешь?"	Хмм,ну в таком случае можно сразу двух зайцев убить;)
